iter	RMSE
0	147032.4504
1	144186.2194
2	141473.1387
3	138865.7514
4	136363.3542
5	133916.3032
6	131571.6518
7	129309.5659
8	127133.2676
9	125051.8376
10	123063.3873
11	121101.8067
12	119273.5118
13	117460.2961
14	115751.0013
15	114085.4652
16	112513.1678
17	110984.4992
18	109473.8691
19	108082.7698
20	106758.2839
21	105480.5619
22	104197.5068
23	102997.5139
24	101824.6251
25	100670.5312
26	99652.44735
27	98615.95094
28	97599.95128
29	96626.91684
30	95708.25928
31	94806.88559
32	93946.46506
33	93119.84328
34	92327.14542
35	91532.2519
36	90745.5012
37	90062.3225
38	89370.7911
39	88715.47179
40	88060.41942
41	87424.33006
42	86814.6705
43	86247.17553
44	85690.33058
45	85126.65757
46	84658.9377
47	84196.63957
48	83725.96622
49	83312.38905
50	82876.65199
51	82476.19549
52	82054.49381
53	81616.96189
54	81243.57036
55	80889.42068
56	80550.97603
57	80183.56688
58	79850.78836
59	79552.89229
60	79232.69472
61	78898.47731
62	78632.92883
63	78361.3836
64	78104.13288
65	77854.42263
66	77588.34187
67	77320.56192
68	77087.3687
69	76834.41714
70	76611.61546
71	76395.47463
72	76206.03897
73	75986.26278
74	75748.35417
75	75588.09764
76	75404.90217
77	75218.50743
78	75034.64155
79	74867.37846
80	74680.82507
81	74552.32874
82	74393.66242
83	74244.28359
84	74099.75022
85	73985.06309
86	73863.17414
87	73731.65734
88	73607.74157
89	73444.64704
90	73324.79521
91	73208.63225
92	73079.53399
93	72975.05726
94	72890.7926
95	72776.69468
96	72687.03865
97	72584.20358
98	72484.96413
99	72393.89389
100	72271.16255
101	72174.99383
102	72070.84125
103	71966.71854
104	71871.013
105	71764.14145
106	71670.14193
107	71603.51812
108	71525.19034
109	71413.17401
110	71290.50648
111	71217.42756
112	71114.30442
113	71020.88414
114	70952.28761
115	70859.97197
116	70787.59077
117	70721.53113
118	70638.42683
119	70584.71644
120	70535.82833
121	70473.98121
122	70425.14136
123	70336.55972
124	70279.84761
125	70186.41839
126	70114.61127
127	70048.66863
128	69971.40566
129	69897.86794
130	69846.09882
131	69774.00461
132	69719.22382
133	69635.28718
134	69580.56182
135	69523.75272
136	69468.63505
137	69408.60163
138	69365.01457
139	69295.31935
140	69238.04712
141	69181.3357
142	69134.05234
143	69060.63104
144	69022.67185
145	68939.83009
146	68885.65879
147	68841.43982
148	68800.66038
149	68729.0338
150	68668.19657
151	68609.23847
152	68565.05007
153	68534.10414
154	68489.62603
155	68440.09439
156	68369.05031
157	68321.78521
158	68270.86685
159	68233.39817
160	68179.66082
161	68123.80818
162	68078.84843
163	68036.33289
164	67978.83609
165	67935.35969
166	67892.97821
167	67852.17421
168	67813.27868
169	67775.93735
170	67718.75624
171	67670.2263
172	67626.23225
173	67583.56238
174	67546.84095
175	67505.76246
176	67460.99822
177	67415.22064
178	67369.57218
179	67331.08171
180	67298.97259
181	67270.67991
182	67247.76791
183	67221.81338
184	67190.87177
185	67145.68762
186	67100.98523
187	67057.57376
188	67023.75259
189	66983.92215
190	66966.32069
191	66937.75905
192	66909.31693
193	66874.31719
194	66844.56931
195	66801.88494
196	66763.59516
197	66740.9712
198	66715.78045
199	66701.73817
200	66668.41391
201	66629.86557
202	66595.48314
203	66571.80265
204	66545.80629
205	66523.30697
206	66498.61022
207	66467.81918
208	66427.42988
209	66388.49273
210	66353.58017
211	66324.38928
212	66293.49074
213	66265.02475
214	66255.60542
215	66223.07797
216	66194.59834
217	66163.30288
218	66136.39979
219	66107.3063
220	66074.9259
221	66050.64519
222	66030.64634
223	66017.77983
224	65982.14357
225	65942.80318
226	65912.17698
227	65884.28858
228	65856.07726
229	65810.74997
230	65795.86162
231	65760.46357
232	65737.50779
233	65724.90232
234	65701.61557
235	65682.18462
236	65644.30896
237	65616.06497
238	65605.15216
239	65585.4172
240	65562.13802
241	65539.18337
242	65528.40568
243	65491.21142
244	65464.00184
245	65448.22675
246	65428.96636
247	65409.34327
248	65376.62055
249	65353.92435
250	65341.19093
251	65320.87369
252	65305.36427
253	65278.58008
254	65258.65521
255	65239.81499
256	65212.96334
257	65184.74199
258	65171.38734
259	65150.36452
260	65122.31902
261	65102.99605
262	65072.97672
263	65043.6616
264	65031.29428
265	65006.6136
266	64993.28336
267	64972.40636
268	64946.08187
269	64924.70106
270	64904.3451
271	64881.63309
272	64868.5081
273	64852.10578
274	64828.90991
275	64810.01955
276	64774.27322
277	64760.20797
278	64740.91984
279	64716.40757
280	64700.66812
281	64686.47448
282	64667.97517
283	64645.50046
284	64625.17245
285	64614.94468
286	64604.67778
287	64593.74758
288	64579.77947
289	64565.50125
290	64554.1822
291	64532.61351
292	64494.93379
293	64464.21778
294	64448.7996
295	64429.72257
296	64419.75103
297	64410.29785
298	64396.80653
299	64376.64982
300	64356.77433
301	64327.67736
302	64301.14375
303	64281.35802
304	64266.17706
305	64260.67141
306	64242.80393
307	64223.57995
308	64207.81233
309	64198.42746
310	64182.32415
311	64166.45713
312	64158.52901
313	64134.84871
314	64116.02875
315	64104.48255
316	64090.9303
317	64071.24126
318	64050.69316
319	64035.62954
320	64018.26019
321	64000.91021
322	63990.10755
323	63959.17667
324	63947.19907
325	63936.19782
326	63924.43649
327	63914.05177
328	63888.66018
329	63870.09881
330	63862.55132
331	63839.85173
332	63822.19091
333	63804.01764
334	63786.53686
335	63763.98641
336	63743.94064
337	63736.11551
338	63719.62914
339	63706.87339
340	63687.66752
341	63683.19119
342	63673.34495
343	63649.92025
344	63633.53965
345	63621.16832
346	63617.28988
347	63605.0193
348	63592.25442
349	63583.21873
350	63578.84247
351	63570.25886
352	63549.03917
353	63541.00628
354	63531.87315
355	63517.43567
356	63501.80842
357	63482.15877
358	63470.47991
359	63466.55408
360	63445.25804
361	63429.55744
362	63419.39738
363	63403.85369
364	63394.00228
365	63385.81072
366	63358.64275
367	63348.51653
368	63320.93593
369	63300.44358
370	63285.72355
371	63270.21666
372	63257.78821
373	63244.19037
374	63228.96946
375	63209.83098
376	63199.76109
377	63182.12359
378	63174.3056
379	63151.36211
380	63145.61272
381	63137.42034
382	63125.922
383	63121.03587
384	63102.61179
385	63080.78078
386	63065.73002
387	63053.03764
388	63045.84312
389	63036.89336
390	63015.06056
391	63009.99801
392	62999.13035
393	62979.90454
394	62965.56443
395	62955.43447
396	62948.0118
397	62936.91991
398	62927.96516
399	62912.41211
400	62895.70632
401	62887.75463
402	62879.51114
403	62861.51743
404	62850.46986
405	62824.48009
406	62812.08269
407	62797.51131
408	62785.97878
409	62774.14934
410	62765.99272
411	62762.23694
412	62754.89674
413	62748.40533
414	62728.03852
415	62718.33738
416	62716.17005
417	62700.52932
418	62690.82744
419	62678.46336
420	62670.04469
421	62660.63694
422	62651.3192
423	62644.90497
424	62633.04186
425	62621.01466
426	62608.42566
427	62594.54598
428	62586.91507
429	62563.88294
430	62558.12182
431	62539.72213
432	62530.50616
433	62523.79766
434	62512.63403
435	62502.5787
436	62490.23378
437	62484.39183
438	62473.71485
439	62463.45927
440	62446.08656
441	62438.00351
442	62431.75439
443	62424.49532
444	62409.89698
445	62400.31938
446	62394.12652
447	62390.29539
448	62385.20686
449	62370.35207
450	62360.0901
451	62346.69931
452	62340.27848
453	62326.63247
454	62307.05418
455	62303.46169
456	62297.3759
457	62283.89734
458	62275.44302
459	62267.38381
460	62251.50646
461	62236.14542
462	62226.84201
463	62214.63714
464	62209.30051
465	62196.15708
466	62185.49792
467	62178.97187
468	62174.73772
469	62168.45506
470	62164.87227
471	62155.7106
472	62152.02783
473	62144.58365
474	62136.01109
475	62125.89481
476	62112.35776
477	62100.3326
478	62082.73407
479	62072.16546
480	62060.44845
481	62053.91989
482	62044.1311
483	62038.63777
484	62027.68161
485	62019.94898
486	62009.39809
487	62001.72359
488	61987.89998
489	61980.37565
490	61971.34668
491	61958.75013
492	61950.65684
493	61942.42379
494	61937.17753
495	61928.56204
496	61923.60278
497	61916.30548
498	61912.34871
499	61903.60876
500	61891.18709
501	61882.0027
502	61874.67201
503	61872.10125
504	61865.86976
505	61863.40904
506	61850.97572
507	61848.41467
508	61844.5248
509	61825.29628
510	61819.19549
511	61812.55949
512	61797.29254
513	61782.16089
514	61773.52378
515	61769.83249
516	61761.07594
517	61756.56342
518	61743.14878
519	61730.76619
520	61723.7352
521	61715.49329
522	61710.78466
523	61702.41249
524	61699.94882
525	61689.1932
526	61682.86465
527	61667.66563
528	61656.46489
529	61642.04921
530	61636.52361
531	61629.74282
532	61616.46504
533	61610.45085
534	61606.16332
535	61596.81483
536	61593.46705
537	61588.2483
538	61585.37584
539	61580.08843
540	61572.13858
541	61567.68736
542	61559.80748
543	61550.0117
544	61540.48284
545	61535.55317
546	61526.62364
547	61516.69722
548	61510.60522
549	61503.95383
550	61496.90407
551	61484.52206
552	61478.61679
553	61475.7607
554	61467.33501
555	61464.17732
556	61460.61441
557	61455.29476
558	61446.28185
559	61441.3267
560	61436.8158
561	61427.7679
562	61416.43015
563	61411.90307
564	61402.28461
565	61385.72772
566	61381.71522
567	61366.64623
568	61363.46541
