iter	Passed	Remaining
0	55	551654
1	123	615266
2	181	605524
3	261	652604
4	341	683140
5	411	685733
6	472	674812
7	543	678983
8	621	690284
9	691	690367
10	763	693374
11	853	710251
12	937	720268
13	1005	717219
14	1081	720204
15	1162	725675
16	1244	730660
17	1316	730056
18	1387	729121
19	1456	726695
20	1533	728699
21	1596	724300
22	1673	726010
23	1751	728019
24	1820	726215
25	1888	724535
26	1957	722876
27	2072	738007
28	2176	748197
29	2236	743205
30	2368	761803
31	2462	767114
32	2527	763259
33	2609	764764
34	2742	780759
35	2834	784626
36	2969	799599
37	3044	798263
38	3143	802811
39	3212	800011
40	3273	795159
41	3344	792879
42	3426	793488
43	3488	789403
44	3557	787085
45	3622	783915
46	3677	778857
47	3750	777637
48	3818	775387
49	3882	772693
50	3947	770068
51	4017	768519
52	4108	771158
53	4185	770919
54	4257	769812
55	4323	767761
56	4403	768055
57	4483	768538
58	4565	769233
59	4635	768005
60	4704	766503
61	4792	768145
62	4871	768305
63	4953	769001
64	5023	767863
65	5108	768929
66	5202	771221
67	5282	771516
68	5333	767681
69	5409	767319
70	5475	765751
71	5587	770492
72	5679	772286
73	5735	769365
74	5806	768345
75	5866	765988
76	5932	764572
77	6012	764884
78	6084	764155
79	6162	764172
80	6227	762660
81	6287	760526
82	6358	759723
83	6424	758346
84	6506	758930
85	6569	757324
86	6634	756007
87	6692	753867
88	6762	753104
89	6833	752475
90	6917	753217
91	6985	752257
92	7066	752737
93	7118	750214
94	7199	750630
95	7290	752122
96	7360	751459
97	7423	750104
98	7495	749599
99	7564	748888
100	7631	747921
101	7682	745551
102	7761	745821
103	7834	745471
104	7915	745906
105	7999	746676
106	8067	745888
107	8121	743876
108	8201	744205
109	8283	744766
110	8369	745606
111	8446	745728
112	8518	745325
113	8634	748807
114	8716	749253
115	8790	749028
116	8847	747387
117	8904	745715
118	8974	745148
119	9028	743310
120	9107	743587
121	9170	742517
122	9238	741897
123	9317	742108
124	9393	742060
125	9472	742301
126	9546	742173
127	9630	742774
128	9707	742818
129	9827	746122
130	9896	745527
131	9978	745948
132	10056	746076
133	10138	746492
134	10192	744784
135	10286	746047
136	10351	745248
137	10413	744154
138	10484	743823
139	10572	744607
140	10624	742892
141	10694	742468
142	10760	741740
143	10824	740847
144	10873	739052
145	10947	738896
146	11026	739108
147	11101	739007
148	11165	738200
149	11260	739418
150	11334	739281
151	11389	737887
152	11443	736466
153	11502	735438
154	11578	735415
155	11660	735816
156	11733	735653
157	11812	735821
158	11891	735981
159	11950	734952
160	12034	735429
161	12110	735468
162	12176	734846
163	12243	734339
164	12326	734712
165	12404	734827
166	12482	734952
167	12535	733612
168	12602	733104
169	12691	733879
170	12786	734934
171	12842	733801
172	12916	733679
173	13000	734179
174	13074	734014
175	13140	733494
176	13231	734311
177	13319	734940
178	13390	734682
179	13466	734672
180	13534	734234
181	13582	732711
182	13677	733719
183	13726	732283
184	13806	732477
185	13874	732059
186	13945	731796
187	14015	731489
188	14082	731003
189	14146	730398
190	14213	729947
191	14290	730007
192	14377	730593
193	14536	734765
194	14633	735781
195	14701	735357
196	14910	741953
197	15005	742851
198	15311	754135
199	15464	757738
